HS_CODE,ship_type
07139000,Container
07141000,Container
07142000,Container
07143000,Container
07144000,Container
07145000,Container
07149000,Container
08011100,Container
08011200,Container
08011900,Container
08012100,Container
08012200,Container
08013100,Container
08013200,Container
08021100,Container
08021200,Container
08022100,Container
08022200,Container
08023100,Container
08023200,Container
08024100,Container
08024200,Container
08025100,Container
08025200,Container
08026100,Container
08026200,Container
08027000,Container
08028000,Container
08029000,Container
08031000,Container
08039000,Container
08041000,Container
08042000,Container
08043000,Container
08044000,Container
08045000,Container
08051000,Container
08052100,Container
08052200,Container
08052900,Container
08054000,Container
08055000,Container
08059000,Container
08061000,Container
08062000,Container
08071100,Container
08071900,Container
08072000,Container
08081000,Container
08083000,Container
08084000,Container
08091000,Container
08092100,Container
08092900,Container
08093000,Container
08094000,Container
08101000,Container
08102000,Container
08103000,Container
08104000,Container
08105000,Container
08106000,Container
08107000,Container
08109000,Container
08111000,Container
08112000,Container
08119000,Container
08121000,Container
08129000,Container
08131000,Container
08132000,Container
08133000,Container
08134000,Container
08135000,Container
08140000,Container
09011100,Container
09011200,Container
09012100,Container
09012200,Container
09019000,Container
09021000,Container
09022000,Container
09023000,Container
09024000,Container
09030000,Container
09041100,Container
09041200,Container
09042100,Container
09042200,Container
09051000,Container
09052000,Container
09061100,Container
09061900,Container
09062000,Container
09071000,Container
09072000,Container
09081100,Container
09081200,Container
09082100,Container
09082200,Container
09083100,Container
09083200,Container
09092100,Container
09092200,Container
09093100,Container
09093200,Container
09096100,Container
09096200,Container
09101100,Container
09101200,Container
09102000,Container
09103000,Container
09109100,Container
09109900,Container
10011100,Dry Bulk
10011900,Dry Bulk
10019100,Dry Bulk
10019900,Dry Bulk
10021000,Dry Bulk
10029000,Dry Bulk
10031000,Dry Bulk
10039000,Dry Bulk
10041000,Dry Bulk
10049000,Dry Bulk
10051000,Dry Bulk
10059000,Dry Bulk
10061000,Dry Bulk
10062000,Dry Bulk
10063000,Dry Bulk
10064000,Dry Bulk
10071000,Dry Bulk
10079000,Dry Bulk
10081000,Dry Bulk
10082100,Dry Bulk
10082900,Dry Bulk
10083000,Dry Bulk
10084000,Dry Bulk
10085000,Dry Bulk
10086000,Dry Bulk
10089000,Dry Bulk
11010000,Dry Bulk
11022000,Dry Bulk
11029000,Dry Bulk
11031100,Dry Bulk
11031300,Dry Bulk
11031900,Dry Bulk
11032000,Dry Bulk
11041200,Dry Bulk
11041900,Dry Bulk
11042200,Dry Bulk
11042300,Dry Bulk
11042900,Dry Bulk
11043000,Dry Bulk
11051000,Dry Bulk
11052000,Dry Bulk
11061000,Dry Bulk
11062000,Dry Bulk
11063000,Dry Bulk
11071000,Dry Bulk
11072000,Dry Bulk
11081100,Dry Bulk
11081200,Dry Bulk
11081300,Dry Bulk
11081400,Dry Bulk
11081900,Dry Bulk
11082000,Dry Bulk
11090000,Dry Bulk
12011000,Dry Bulk
12019000,Dry Bulk
12023000,Dry Bulk
12024100,Dry Bulk
12024200,Dry Bulk
12030000,Dry Bulk
12040000,Dry Bulk
12051000,Dry Bulk
12059000,Dry Bulk
12060000,Dry Bulk
12071000,Dry Bulk
12072100,Dry Bulk
12072900,Dry Bulk
12073000,Dry Bulk
12074000,Dry Bulk
12075000,Dry Bulk
12076000,Dry Bulk
12077000,Dry Bulk
